Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Sierra Leone,Africa,4251,53.29,95,1.19,43,82,1.03,3,0.04,3,Community transmission
Barbados,Americas,4032,1403.04,9,3.13,0,47,16.35,0,0,0,Community transmission
Comoros,Africa,3961,455.5,9,1.03,1,146,16.79,0,0,0,Community transmission
Guinea-Bissau,Africa,3794,192.78,11,0.56,4,68,3.46,0,0,0,Community transmission
United States Virgin Islands,Americas,3618,3464.69,106,101.51,10,28,26.81,1,0.96,0,Community transmission
Jersey,Europe,3257,3021.45,14,12.99,4,69,64.01,0,0,0,Community transmission
Liechtenstein,Europe,3114,8036.75,5,12.9,0,57,147.11,0,0,0,Sporadic cases
Monaco,Europe,2514,6406.07,6,15.29,3,33,84.09,0,0,0,Sporadic cases
Bermuda,Americas,2497,4009.76,3,4.82,0,33,52.99,0,0,0,Community transmission
Sint Maarten,Americas,2495,5818.29,70,163.24,11,30,69.96,2,4.66,1,Community transmission
Turks and Caicos Islands,Americas,2421,6252.91,4,10.33,0,18,46.49,1,2.58,0,Clusters of cases
Liberia,Africa,2382,47.1,163,3.22,92,88,1.74,2,0.04,0,Community transmission
Sao Tome and Principe,Africa,2354,1074.11,7,3.19,1,37,16.88,0,0,0,Community transmission
New Zealand,Western Pacific,2341,48.55,16,0.33,1,26,0.54,0,0,0,Sporadic cases
Saint Martin,Americas,2113,5465.74,104,269.02,0,22,56.91,7,18.11,0,Community transmission
Saint Vincent and the Grenadines,Americas,2092,1885.7,48,43.27,7,12,10.82,0,0,0,Community transmission
Lao People's Democratic Republic,Western Pacific,1971,27.09,37,0.51,1,3,0.04,0,0,0,Sporadic cases
Bhutan,South-East Asia,1739,225.37,100,12.96,15,1,0.13,0,0,0,Clusters of cases
Isle of Man,Europe,1598,1879.29,4,4.7,0,29,34.1,0,0,0,No cases
Bonaire,Americas,1590,7602.2,2,9.56,0,17,81.28,0,0,0,Community transmission
Mauritius,Africa,1519,119.44,74,5.82,0,18,1.42,0,0,0,Clusters of cases
Antigua and Barbuda,Americas,1263,1289.71,1,1.02,0,42,42.89,0,0,0,Clusters of cases
Saint Barthélemy,Americas,1029,10409.71,6,60.7,0,1,10.12,0,0,0,Clusters of cases
Fiji,Western Pacific,880,98.17,372,41.5,35,4,0.45,0,0,0,Sporadic cases
Guernsey,Europe,823,1276.6,0,0,0,17,26.37,0,0,0,Community transmission
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,752,1538.93,29,59.35,5,1,2.05,0,0,0,Sporadic cases
Cayman Islands,Americas,592,900.79,8,12.17,1,2,3.04,0,0,0,Sporadic cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
British Virgin Islands,Americas,290,959.09,1,3.31,0,1,3.31,0,0,0,Clusters of cases
Brunei Darussalam,Western Pacific,246,56.23,2,0.46,0,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,188,261.14,0,0,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,183,317.95,0,0,0,2,3.47,0,0,0,Pending
Grenada,Americas,161,143.08,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,128,44.83,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,119,223.72,46,86.48,25,0,0,0,0,0,Clusters of cases
Anguilla,Americas,109,726.57,0,0,0,0,0,0,0,0,Clusters of cases
Falkland Islands (Malvinas),Americas,63,1808.79,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,43,75.74,3,5.28,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,25,431.41,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
